Word,Length,Freq_KF,Freq_HAL,SUBTLWF,POS
understand,10,137,107528,482.45,VB
undone,6,4,692,2.45,VB
unhealthy,9,4,1277,1.63,JJ
unifying,8,4,514,0.18,VB
union,5,182,30591,21.78,NN
unit,4,103,42634,36.18,NN
university,10,214,238281,23.59,NN
unless,6,101,97713,113.69,minor
unrest,6,5,1188,1.02,NN
unseen,6,5,2067,2.16,JJ
until,5,461,170311,302.47,minor
unworthy,8,5,772,1.9,JJ|NN
upon,4,495,78218,62.73,minor|NN
usual,5,96,28950,37.24,JJ|NN
vale,4,4,3937,1.47,NN
value,5,200,82888,21.51,NN|VB
variant,7,4,4827,0.18,NN|JJ
variety,7,85,30727,5.76,NN
various,7,201,88071,8.94,JJ|NN
vase,4,4,540,3.84,NN
velvet,6,4,2236,6.27,NN
venerable,9,5,657,0.27,JJ
verb,4,4,2101,1.06,NN
verify,6,5,9374,4.86,VB
verve,5,4,498,0.24,NN
very,4,796,587578,1241.25,RB|JJ
vest,4,4,1238,5.57,NN
veterinary,10,4,1964,0.69,JJ|NN
vicar,5,4,391,1.47,NN
view,4,186,75014,38.53,NN|VB
viewer,6,4,9597,1.53,NN
vigilance,9,4,428,0.51,NN
vile,4,5,2724,4.43,JJ|NN
vinyl,5,4,7178,1.24,NN
virile,6,4,152,0.65,JJ
virtual,7,5,31841,2.61,JJ|NN
visa,4,5,19037,4.24,NN
visit,5,109,43874,58.69,NN|VB
vitamin,7,5,3789,2.67,NN
vocation,8,3,473,0.82,NN
voice,5,226,81827,86.16,NN|VB
volatile,8,5,1404,1.16,JJ
volume,6,135,40289,6.94,NN
vulture,7,4,392,1.76,NN
wait,4,94,61759,830.25,VB|NN
wakeful,7,5,31,0.12,JJ
walk,4,100,33093,215.86,NN|VB
wall,4,160,91869,70.69,NN|VB
want,4,329,508123,2759.18,VB|NN
warden,6,4,688,11.24,NN
warehouse,9,4,4496,9.98,NN
warlike,7,5,178,0.27,JJ|RB
warrior,7,5,10894,10.12,NN
watch,5,81,56974,330.02,VB|NN
water,5,442,105961,225.06,NN|VB
wavelength,10,4,1392,0.63,NN
weave,5,4,1125,2.06,VB|NN
wedge,5,4,2101,2.33,NN|VB
week,4,275,109477,238.51,NN
weigh,5,4,4150,7.12,VB
weld,4,4,1230,0.63,VB
well,4,897,552532,2990.65,RB|minor|JJ|NN|VB
Welsh,5,4,3305,1.18,NN|JJ|VB
went,4,507,115581,411.51,VB
were,4,3284,663883,1662.82,VB
west,4,235,62838,60.55,NN|JJ|RB
western,7,137,38452,13.31,JJ|NN
wharf,5,4,492,1.27,NN
what,4,1908,1325779,9842.45,minor
when,4,2331,944467,2034.1,minor
where,5,938,454613,1830.22,minor
whether,7,286,112151,67.14,minor
which,5,3562,980925,477.24,minor
while,5,680,284228,349.43,minor|NN|VB|JJ
whine,5,4,3757,1.63,NN|VB
whistle,7,4,2672,15.45,NN
white,5,365,149742,171.45,JJ|NN
whole,5,309,120697,385.49,JJ|NN
whom,4,146,28333,35.2,minor
wick,4,4,559,2.51,NN
wide,4,125,63297,23.8,JJ|RB|NN
wife,4,228,38746,348.92,NN
will,4,2244,1706009,2123.65,VB|NN
window,6,119,54926,86,NN
winter,6,83,23910,26.22,NN|VB
wish,4,110,74280,235.12,VB|NN
witch,5,5,8139,27.65,NN
with,4,7289,3184846,5048.33,minor|JJ
within,6,359,120308,59.16,minor|NN
without,7,583,254348,354.65,minor|NN|RB
women,5,195,111268,195.65,NN
woodwork,8,5,464,0.84,NN|VB
word,4,274,138155,235.55,NN
work,4,760,451298,798.02,NN|VB
world,5,787,295523,455.22,NN
worm,4,4,4110,10.12,NN|VB
worth,5,94,81429,109.2,JJ|NN|RB|minor
would,5,2714,1278502,1767.88,VB
wrap,4,5,5973,17.8,VB|NN
write,5,106,132648,126.8,VB
wrong,5,129,138848,523.1,JJ|NN|RB|VB
wrote,5,181,1028146,71.16,VB
yacht,5,4,1006,8.22,NN
year,4,660,246566,277.92,NN
yesterday,9,83,21313,96.76,NN|RB
young,5,385,66849,243.18,JJ|NN
your,4,923,1711893,6445.39,minor
youth,5,82,14084,16.82,NN
zealous,7,4,367,0.29,JJ
